"currSession","sessionStartTime","currTask","currTrial","stimulus","response","correctResponse","responseTime","round","type","predictType","sizeType","predictPair","pairCaType","pairSiType","picType","scrambleType","sessionEndTime","sessionNum","subject","expStartTime","expEndTime","intention","comments","pairsCombo","encodeSequence","fillerCombo","predictTestSequence","memoryTestSequence","cueCategories","targetCategories","withinCategories","crossCategories","fillerCategories","sameCategories","diffCategories"
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","8","d4_1","2","2","692","","cue","cross","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","9","b2_3","1","1","684","","target","cross","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","10","a1_8","no response detected","1","0","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","11","c1_4","1","1","969","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","12","d2_9","1","1","882","","cue","within","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","13","d3_2","2","2","706","","target","within","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","14","a2_16","1","1","716","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","15","d2_11","1","1","989","","cue","within","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","16","d3_1","2","2","788","","target","within","diff","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","17","b3_6","2","2","779","","cue","within","same","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","18","b4_14","2","2","859","","target","within","same","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
"encodePictures","""2022-04-06T12:44:23.610Z""","encodePictures","19","a1_14","1","1","750","","filler","NA","NA","","","","","","""2022-04-06T12:56:01.016Z""","1","39","""2022-04-06T12:44:15.086Z""","""2022-04-06T13:42:05.979Z""","","","","","","","","","","","","","",""
